bearing_deg,horizon_deg
159.0000,3.7747
159.5000,3.9025
160.0000,3.9917
160.5000,4.1502
161.0000,4.3123
161.5000,4.3414
162.0000,4.1775
162.5000,4.2908
163.0000,4.4405
163.5000,4.7173
164.0000,4.6785
164.5000,4.4370
165.0000,4.1954
165.5000,4.3903
166.0000,4.6107
166.5000,4.7954
167.0000,4.8940
167.5000,4.9656
168.0000,5.0794
168.5000,4.9641
169.0000,4.7213
169.5000,4.7183
170.0000,4.7927
170.5000,4.9297
171.0000,5.1872
171.5000,5.3007
172.0000,5.1434
172.5000,5.1509
173.0000,5.3853
173.5000,5.5567
174.0000,5.8450
174.5000,5.9912
175.0000,5.9707
175.5000,5.9869
176.0000,5.9212
176.5000,5.9728
177.0000,6.2205
177.5000,6.5171
178.0000,6.5866
178.5000,6.4522
179.0000,6.4473
179.5000,6.7020
180.0000,6.9051
180.5000,7.1099
181.0000,7.1484
181.5000,7.2163
182.0000,7.2037
182.5000,7.1060
183.0000,7.3459
183.5000,7.6351
184.0000,7.7505
184.5000,7.9231
185.0000,7.9659
185.5000,7.7788
186.0000,7.6401
186.5000,7.5758
187.0000,7.5528
187.5000,7.4790
188.0000,7.4089
188.5000,7.6220
189.0000,7.6450
189.5000,7.6274
190.0000,7.7219
190.5000,7.8169
191.0000,7.8920
191.5000,7.8381
192.0000,7.9040
192.5000,7.5713
193.0000,7.4978
193.5000,7.4989
194.0000,7.4301
194.5000,7.4154
195.0000,7.4344
195.5000,7.5571
196.0000,7.7275
196.5000,7.7869
197.0000,8.0439
197.5000,8.1884
198.0000,8.0735
198.5000,8.1111
199.0000,8.2010
199.5000,8.3636
200.0000,8.7784
200.5000,8.8416
201.0000,8.5078
201.5000,8.3156
202.0000,8.1152
202.5000,7.9037
203.0000,7.5859
203.5000,7.5253
204.0000,7.6632
204.5000,8.0924
205.0000,8.4216
205.5000,8.4564
206.0000,8.6056
206.5000,8.6882
207.0000,8.7846
207.5000,8.8731
208.0000,8.9811
208.5000,8.8808
209.0000,8.8050
209.5000,8.7347
210.0000,8.6352
210.5000,8.5231
211.0000,8.4637
211.5000,8.5120
212.0000,8.5485
212.5000,8.5597
213.0000,8.3949
213.5000,8.3023
214.0000,8.2580
214.5000,8.1642
215.0000,8.0523
215.5000,7.7484
216.0000,7.4788
216.5000,7.4860
217.0000,7.5592
217.5000,7.6005
218.0000,7.6222
218.5000,7.7086
219.0000,7.7851
219.5000,7.8888
220.0000,7.9612
220.5000,8.0743
221.0000,8.1684
221.5000,8.2978
222.0000,8.3951
222.5000,8.5025
223.0000,8.5669
223.5000,8.6936
224.0000,8.8146
224.5000,8.9455
225.0000,9.0687
225.5000,9.2054
226.0000,9.3731
226.5000,9.5232
227.0000,9.6784
227.5000,9.8006
228.0000,9.9399
228.5000,10.1230
229.0000,10.2219
229.5000,10.3869
230.0000,10.5199
230.5000,10.6799
231.0000,10.8286
231.5000,10.9330
232.0000,11.0577
232.5000,11.1244
233.0000,11.1532
233.5000,11.2430
234.0000,11.4411
234.5000,11.5921
235.0000,11.6922
235.5000,11.7746
236.0000,11.7972
236.5000,11.8488
237.0000,11.8639
237.5000,11.8649
238.0000,11.9123
238.5000,11.9799
239.0000,12.0714
239.5000,12.1828
240.0000,12.1561
240.5000,12.1570
241.0000,12.1752
241.5000,12.1352
242.0000,12.0126
242.5000,11.8977
243.0000,11.8917
243.5000,11.8726
244.0000,11.8645
244.5000,11.9482
245.0000,12.0763
245.5000,12.0401
246.0000,11.9260
246.5000,11.7860
247.0000,11.5952
247.5000,11.4392
248.0000,11.2141
248.5000,11.0367
249.0000,11.1269
249.5000,11.2759
250.0000,11.4797
250.5000,11.4740
251.0000,11.3765
251.5000,11.2487
252.0000,11.1032
252.5000,10.9881
253.0000,10.7129
253.5000,10.5543
