bearing_deg,horizon_deg
200.0000,8.7709
200.0500,8.8249
200.1000,8.8627
200.1500,8.8848
200.2000,8.9100
200.2500,8.9379
200.3000,8.9471
200.3500,8.9309
200.4000,8.9030
200.4500,8.8752
200.5000,8.8341
200.5500,8.7815
200.6000,8.7309
200.6500,8.6840
200.7000,8.6608
200.7500,8.6371
200.8000,8.6108
200.8500,8.5764
200.9000,8.5506
200.9500,8.5287
201.0000,8.5004
201.0500,8.4749
201.1000,8.4513
201.1500,8.4297
201.2000,8.4091
201.2500,8.3908
201.3000,8.3737
201.3500,8.3538
201.4000,8.3466
201.4500,8.3348
201.5000,8.3082
201.5500,8.2833
201.6000,8.2603
201.6500,8.2371
201.7000,8.2129
201.7500,8.1895
201.8000,8.1666
201.8500,8.1381
201.9000,8.1252
201.9500,8.1158
202.0000,8.1077
202.0500,8.0995
202.1000,8.0809
202.1500,8.0734
202.2000,8.0575
202.2500,8.0430
202.3000,8.0294
202.3500,8.0063
202.4000,7.9691
202.4500,7.9321
202.5000,7.8962
202.5500,7.8588
202.6000,7.8189
202.6500,7.7837
202.7000,7.7532
202.7500,7.7126
202.8000,7.6557
202.8500,7.6406
202.9000,7.6186
202.9500,7.5960
203.0000,7.5783
203.0500,7.5655
203.1000,7.5662
203.1500,7.5795
203.2000,7.5574
203.2500,7.5408
203.3000,7.5297
203.3500,7.5242
203.4000,7.5121
203.4500,7.5264
203.5000,7.5176
203.5500,7.5147
203.6000,7.5180
203.6500,7.5220
203.7000,7.5396
203.7500,7.5521
203.8000,7.5552
203.8500,7.5624
203.9000,7.5732
203.9500,7.6110
204.0000,7.6555
204.0500,7.6857
204.1000,7.7341
204.1500,7.7593
204.2000,7.7932
204.2500,7.8340
204.3000,7.8750
204.3500,7.9143
204.4000,7.9689
204.4500,8.0255
204.5000,8.0845
204.5500,8.1476
204.6000,8.1970
204.6500,8.2424
204.7000,8.2877
204.7500,8.3305
204.8000,8.3429
204.8500,8.3469
204.9000,8.3611
204.9500,8.3961
205.0000,8.4136
205.0500,8.4453
205.1000,8.4449
205.1500,8.4578
205.2000,8.4622
205.2500,8.4665
205.3000,8.4712
205.3500,8.4763
205.4000,8.4686
205.4500,8.4532
205.5000,8.4484
205.5500,8.4440
205.6000,8.4451
205.6500,8.4483
205.7000,8.4698
205.7500,8.5108
205.8000,8.5310
205.8500,8.5452
205.9000,8.5601
205.9500,8.5828
206.0000,8.5975
206.0500,8.6365
206.1000,8.6381
206.1500,8.6198
206.2000,8.6146
206.2500,8.5996
206.3000,8.5883
206.3500,8.6015
206.4000,8.6295
206.4500,8.6575
206.5000,8.6799
206.5500,8.6882
206.6000,8.6965
206.6500,8.7025
206.7000,8.7086
206.7500,8.7120
206.8000,8.7243
206.8500,8.7288
206.9000,8.7499
206.9500,8.7685
207.0000,8.7762
207.0500,8.7904
207.1000,8.7891
207.1500,8.7896
207.2000,8.7864
207.2500,8.7850
207.3000,8.7817
207.3500,8.7988
207.4000,8.8200
207.4500,8.8411
207.5000,8.8646
207.5500,8.8924
207.6000,8.9187
207.6500,8.9390
207.7000,8.9636
207.7500,8.9742
207.8000,8.9841
207.8500,8.9880
207.9000,8.9829
207.9500,8.9777
208.0000,8.9725
208.0500,8.9673
208.1000,8.9628
208.1500,8.9594
208.2000,8.9473
208.2500,8.9345
208.3000,8.9229
208.3500,8.9073
208.4000,8.8925
208.4500,8.8809
208.5000,8.8723
208.5500,8.8581
208.6000,8.8411
208.6500,8.8274
208.7000,8.8179
208.7500,8.8122
208.8000,8.8092
208.8500,8.8054
208.9000,8.7990
208.9500,8.7958
209.0000,8.7965
209.0500,8.7964
209.1000,8.7865
209.1500,8.7784
209.2000,8.7723
209.2500,8.7647
209.3000,8.7555
209.3500,8.7410
209.4000,8.7477
209.4500,8.7366
209.5000,8.7261
209.5500,8.7159
209.6000,8.7090
209.6500,8.7034
209.7000,8.6863
209.7500,8.6717
209.8000,8.6599
209.8500,8.6500
209.9000,8.6371
209.9500,8.6243
210.0000,8.6266
210.0500,8.6176
210.1000,8.6040
210.1500,8.5943
210.2000,8.5863
210.2500,8.5814
210.3000,8.5681
210.3500,8.5519
210.4000,8.5376
210.4500,8.5262
210.5000,8.5144
210.5500,8.4885
210.6000,8.4802
210.6500,8.4732
210.7000,8.4485
210.7500,8.4389
210.8000,8.4360
210.8500,8.4272
210.9000,8.4395
210.9500,8.4433
211.0000,8.4550
211.0500,8.4751
211.1000,8.4788
211.1500,8.4839
211.2000,8.4888
211.2500,8.4943
211.3000,8.4997
211.3500,8.4986
211.4000,8.4976
211.4500,8.4991
211.5000,8.5033
211.5500,8.5125
211.6000,8.5280
211.6500,8.5454
211.7000,8.5536
211.7500,8.5476
211.8000,8.5436
211.8500,8.5416
211.9000,8.5415
211.9500,8.5408
212.0000,8.5397
212.0500,8.5440
212.1000,8.5430
212.1500,8.5474
212.2000,8.5602
212.2500,8.5622
212.3000,8.5554
212.3500,8.5511
212.4000,8.5505
212.4500,8.5519
212.5000,8.5508
212.5500,8.5432
212.6000,8.5263
212.6500,8.5081
212.7000,8.4905
212.7500,8.4734
212.8000,8.4554
212.8500,8.4375
212.9000,8.4236
212.9500,8.4059
213.0000,8.3861
213.0500,8.3671
213.1000,8.3474
213.1500,8.3347
213.2000,8.3287
213.2500,8.3233
213.3000,8.3134
213.3500,8.3048
213.4000,8.2972
213.4500,8.2930
213.5000,8.2935
213.5500,8.2961
213.6000,8.2927
213.6500,8.2884
213.7000,8.2806
213.7500,8.2774
213.8000,8.2778
213.8500,8.2818
213.9000,8.2793
213.9500,8.2620
214.0000,8.2492
214.0500,8.2406
214.1000,8.2355
214.1500,8.2345
214.2000,8.2232
214.2500,8.2066
214.3000,8.1927
214.3500,8.1815
214.4000,8.1731
214.4500,8.1653
214.5000,8.1554
214.5500,8.1447
214.6000,8.1388
214.6500,8.1376
214.7000,8.1377
214.7500,8.1219
214.8000,8.1061
214.8500,8.0870
214.9000,8.0719
214.9500,8.0610
215.0000,8.0435
215.0500,8.0262
215.1000,8.0094
215.1500,7.9823
215.2000,7.9539
215.2500,7.9200
215.3000,7.8827
215.3500,7.8468
215.4000,7.8135
215.4500,7.7762
215.5000,7.7395
215.5500,7.7051
215.6000,7.6747
215.6500,7.6495
215.7000,7.6288
215.7500,7.6039
215.8000,7.5761
215.8500,7.5538
215.9000,7.5287
215.9500,7.4994
216.0000,7.4700
216.0500,7.4509
216.1000,7.4539
216.1500,7.4561
216.2000,7.4582
216.2500,7.4592
216.3000,7.4608
216.3500,7.4628
216.4000,7.4647
216.4500,7.4690
216.5000,7.4729
216.5500,7.4787
216.6000,7.4849
216.6500,7.4900
216.7000,7.4954
216.7500,7.5044
216.8000,7.5144
216.8500,7.5253
216.9000,7.5358
216.9500,7.5409
217.0000,7.5459
217.0500,7.5514
217.1000,7.5569
217.1500,7.5613
217.2000,7.5662
217.2500,7.5715
217.3000,7.5770
217.3500,7.5805
217.4000,7.5833
217.4500,7.5858
217.5000,7.5872
217.5500,7.5894
217.6000,7.5916
217.6500,7.5937
217.7000,7.5959
217.7500,7.5983
217.8000,7.6013
217.8500,7.6018
217.9000,7.6043
217.9500,7.6063
218.0000,7.6090
218.0500,7.6126
218.1000,7.6172
218.1500,7.6228
218.2000,7.6328
218.2500,7.6432
218.3000,7.6541
218.3500,7.6655
218.4000,7.6765
218.4500,7.6861
