bearing_deg,horizon_deg
135.9000,4.8168
135.9500,4.8018
136.0000,4.7849
136.0500,4.7689
136.1000,4.7517
136.1500,4.7354
136.2000,4.7173
136.2500,4.7048
136.3000,4.7024
136.3500,4.6978
136.4000,4.6962
136.4500,4.6943
136.5000,4.6795
136.5500,4.6691
136.6000,4.6582
136.6500,4.6570
136.7000,4.6398
136.7500,4.5583
136.8000,4.4722
136.8500,4.4325
136.9000,4.3912
136.9500,4.3397
137.0000,4.2992
137.0500,4.2268
137.1000,4.1697
137.1500,4.1034
137.2000,4.0441
137.2500,3.9494
137.3000,3.8195
137.3500,3.6571
137.4000,3.5851
137.4500,3.5127
137.5000,3.4428
137.5500,3.3710
137.6000,3.3003
137.6500,3.2484
137.7000,3.2235
137.7500,3.1959
137.8000,3.1422
137.8500,3.1015
137.9000,3.0609
137.9500,3.0004
138.0000,2.9300
138.0500,2.8721
138.1000,2.8182
138.1500,2.8004
138.2000,2.7963
138.2500,2.7923
138.3000,2.7882
138.3500,2.7841
138.4000,2.7800
138.4500,2.7760
138.5000,2.7680
138.5500,2.7579
138.6000,2.7479
138.6500,2.7381
138.7000,2.7284
138.7500,2.7189
138.8000,2.7094
138.8500,2.7001
138.9000,2.6910
138.9500,2.6820
139.0000,2.6731
139.0500,2.6643
139.1000,2.6557
139.1500,2.6472
139.2000,2.6389
139.2500,2.6306
139.3000,2.6226
139.3500,2.6146
139.4000,2.6068
139.4500,2.5991
139.5000,2.5916
139.5500,2.5842
139.6000,2.5769
139.6500,2.5697
139.7000,2.5627
139.7500,2.5558
139.8000,2.5491
139.8500,2.5425
139.9000,2.5360
139.9500,2.5296
140.0000,2.5237
140.0500,2.5196
140.1000,2.5157
140.1500,2.5118
140.2000,2.5065
140.2500,2.5005
140.3000,2.4945
140.3500,2.4884
140.4000,2.4824
140.4500,2.4764
140.5000,2.4703
140.5500,2.4643
140.6000,2.4582
140.6500,2.4522
140.7000,2.4462
140.7500,2.4401
140.8000,2.4341
140.8500,2.4280
140.9000,2.4220
140.9500,2.4160
141.0000,2.4099
141.0500,2.4039
141.1000,2.3978
141.1500,2.3918
141.2000,2.3857
141.2500,2.3797
141.3000,2.3736
141.3500,2.3676
141.4000,2.3615
141.4500,2.3555
141.5000,2.3488
141.5500,2.3434
141.6000,2.3382
141.6500,2.3329
141.7000,2.3278
141.7500,2.3227
141.8000,2.3177
141.8500,2.3132
141.9000,2.3102
141.9500,2.3071
142.0000,2.3041
142.0500,2.3011
142.1000,2.2981
142.1500,2.2950
142.2000,2.2920
142.2500,2.2890
142.3000,2.2844
142.3500,2.2794
142.4000,2.2743
142.4500,2.2692
142.5000,2.2641
142.5500,2.2591
142.6000,2.2540
142.6500,2.2489
142.7000,2.2438
142.7500,2.2387
142.8000,2.2344
142.8500,2.2303
142.9000,2.2262
142.9500,2.2221
143.0000,2.2179
143.0500,2.2138
143.1000,2.2095
143.1500,2.2053
143.2000,2.2012
143.2500,2.1972
143.3000,2.1926
143.3500,2.1866
143.4000,2.1807
143.4500,2.1760
143.5000,2.1722
143.5500,2.1684
143.6000,2.1648
143.6500,2.1627
143.7000,2.1606
143.7500,2.1585
143.8000,2.1564
143.8500,2.1543
143.9000,2.1523
143.9500,2.1502
144.0000,2.1481
144.0500,2.1460
144.1000,2.1439
144.1500,2.1418
144.2000,2.1397
144.2500,2.1376
144.3000,2.1355
144.3500,2.1334
144.4000,2.1313
144.4500,2.1292
144.5000,2.1271
144.5500,2.1250
144.6000,2.1229
144.6500,2.1208
144.7000,2.1187
144.7500,2.1166
144.8000,2.1145
144.8500,2.1124
144.9000,2.1103
144.9500,2.1065
145.0000,2.1023
145.0500,2.0980
145.1000,2.0938
145.1500,2.0896
145.2000,2.0853
145.2500,2.0811
145.3000,2.0768
145.3500,2.0726
145.4000,2.0683
145.4500,2.0641
145.5000,2.0598
145.5500,2.0556
145.6000,2.0513
145.6500,2.0470
145.7000,2.0428
145.7500,2.0385
145.8000,2.0342
145.8500,2.0300
145.9000,2.0271
145.9500,2.0262
146.0000,2.0253
146.0500,2.0244
146.1000,2.0235
146.1500,2.0226
146.2000,2.0217
146.2500,2.0208
146.3000,2.0199
146.3500,2.0190
146.4000,2.0176
146.4500,2.0146
146.5000,2.0115
146.5500,2.0085
146.6000,2.0055
146.6500,2.0024
146.7000,1.9994
146.7500,1.9963
146.8000,1.9933
146.8500,1.9902
146.9000,1.9881
146.9500,1.9868
147.0000,1.9856
147.0500,1.9843
147.1000,1.9830
147.1500,1.9817
147.2000,1.9804
147.2500,1.9791
147.3000,1.9778
147.3500,1.9765
147.4000,1.9752
147.4500,1.9739
147.5000,1.9726
147.5500,1.9713
147.6000,1.9699
147.6500,1.9686
147.7000,1.9673
147.7500,1.9660
147.8000,1.9647
147.8500,1.9633
147.9000,1.9620
147.9500,1.9607
148.0000,1.9593
148.0500,1.9580
148.1000,1.9567
148.1500,1.9553
148.2000,1.9540
148.2500,1.9526
148.3000,1.9513
148.3500,1.9499
148.4000,1.9486
148.4500,1.9472
148.5000,1.9459
148.5500,1.9445
148.6000,1.9432
148.6500,1.9418
148.7000,1.9404
148.7500,1.9391
148.8000,1.9377
148.8500,1.9363
148.9000,1.9349
148.9500,1.9336
149.0000,1.9322
149.0500,1.9301
149.1000,1.9259
149.1500,1.9217
149.2000,1.9175
149.2500,1.9132
149.3000,1.9088
149.3500,1.9043
149.4000,1.8998
149.4500,1.8952
149.5000,1.8905
149.5500,1.8858
149.6000,1.8811
149.6500,1.8762
149.7000,1.8713
149.7500,1.8663
149.8000,1.8613
149.8500,1.8562
149.9000,1.8510
149.9500,1.8458
150.0000,1.8354
150.0500,1.8219
